Supergroup,A,Professional Employment and Family Lifecycles,"These neighbourhoods house people of all ages, predominantly of White British or European extraction. Resident turnover is low. Religious affiliation is less common than average and tends to be Christian if expressed. Homeownership, typically of terraced houses, is common but use of the social rented sector is not. Employment is typically in professional, managerial and associate professional or technical occupations. There are few full-time students. Level 4 qualifications are common. More households lack dependent children than have them which, considered alongside low levels of crowding and over-all age structure, indicates that many households may be post child-rearing and in late middle age. Incidence of disability is low, as is residence in communal establishments."
Supergroup,B,The Greater London Mix,"A Supergroup embodying London's diversity in many respects, apart from low numbers of residents identifying as of Bangladeshi, Indian, Pakistani or Other (non-Chinese) Asian ethnicity. There is lower than average prevalence of families with dependent children, while there are above average occurrences of never-married individuals and single-person households. The age distribution is skewed towards younger, single residents and couples without children, with many individuals identifying as of mixed or multiple ethnicity. Social rented or private rented housing is slightly more prevalent than average, and many residents live in flats. Individuals typically work in professional and associated roles in public administration, education or health rather than in elementary occupations in agriculture, energy, water, construction or manufacturing. Incidence of students is slightly below average. Individuals declaring no religion are more prevalent than average and non-use of English at home is below average."
Supergroup,C,Suburban Asian Communities,"Many residents of these neighbourhoods are of (non-Chinese) Asian descent, with many identifying as Indian, Pakistani or Bangladeshi. Neighbourhoods are located across large areas of suburban west, north-east and south London. Detached, semi-detached and terraced houses are more prevalent than flats and socially rented housing is uncommon. Few residents live in communal establishments. Many families have dependent children, sometimes in overcrowded accommodation, and few households are ethnically mixed. Marriage rates are above the London average. The even age distribution, relative absence of individuals living alone and frequent incidence of households with children suggests that multi-generation households may be relatively common. Employment is often in skilled trades, elementary, sales and customer service occupations, and roles as process, plant, and machine operatives. Manufacturing and construction are well represented, along with employment in distribution, hotels, and restaurants. Many adults have only level 1, 2, or apprenticeship qualifications. English is not used at home by some residents. Religious affiliation is above average."
Supergroup,D,Central Connected Professionals and Managers,"Adult residents of these neighbourhoods are typically aged 25 to 44, working full-time in professional, managerial or associate professional occupations. There are few families with dependent children. The predominantly Inner London neighbourhoods have an international character, including many residents born elsewhere in Europe alongside high numbers of individuals identifying as of Chinese ethnicity. Many individuals are never married, childless and/or living alone. Above average numbers of individuals, likely to be full-time students, live in communal establishments. Elsewhere, privately rented flats are the dominant housing type. Residents of these areas are well-qualified, with a significant number holding Level 4 or above qualifications. There is a correspondingly high level of individuals employed full-time in professional, managerial and associated professional or technical occupations. Employing industries are financial, real estate, professional, administration, and, to a lesser degree, transport and communications. Unemployment is uncommon."
Supergroup,E,Social Rented Sector Families with Children,"Residents of these neighbourhoods include sizable numbers identifying with ethnicities originating outside Europe, particularly in Africa or Bangladesh. The proportion of residents identifying as White, Indian or Pakistani is well below the London average. Neighbourhood age profiles are skewed towards younger adults, and above average numbers of families have children. Rates of use of English at home are below average. Marriage rates are low, and levels of separation or divorce are above average. Housing is predominantly in flats, and renting in the social rented sector the norm - few residents are owner occupiers. Housing is often overcrowded, and neighbourhoods are amongst the most densely populated in London. Disability rates are above average, although levels of unpaid care provision are about average. Employment is in caring, leisure, other service occupations, sales and customer service, or process, plant, and machine operation. Part time working and full-time student study are common. Levels of unemployment are slightly above average. Most residents have only Level 1 or 2 educational qualifications or have completed apprenticeships."
Supergroup,F,Young Families and Mainstream Employment,"Many families in these neighbourhoods have young children. Housing is principally in the social rented sector, in terraced or semi-detached units. While over-all residential densities are low, overcrowding is also prevalent locally. Residents are drawn from a range of ethnic minorities, with many identifying as Black and above average numbers born in Africa. Numbers identifying as of Chinese, Indian or White ethnicity are below average. Levels of proficiency in English are below average. Levels of separation or divorce and incidence of disability are both above average. Education is typically limited to Level 1, 2, or apprenticeship qualifications. Few residents work in professional or managerial occupations but the employment structure is otherwise diverse: it includes skilled trades, caring, leisure and other service occupations, sales and customer service occupations, construction, and work as process, plant, and machine operatives."
Supergroup,G,Older Residents in Owner-Occupied Suburbs,"The age distribution of these neighbourhoods is skewed towards the middle-aged and old, although few residents live alone or in communal establishments and numbers of dependent children are around average. Owner occupation is the norm, as is residence in detached or semi-detached houses. Residential densities are low and many households have spare rooms. Most residents were born in the UK and, aside from some identifying as members of Chinese or Indian ethnicities, identify as White. Mixed ethnicity households are rare. Incidence of married couples is higher than average and few individuals have never been married. A large proportion of individuals still in employment work in administrative and secretarial occupations, or in the construction industry. Few residents are students, and many households own more than one car."
Group,A1,Established Homeowners with Children,"These predominantly British-born residents are typically married/in civil partnerships and own the properties in which they are raising their children. Parents are typically over 45, and many other residents are beyond normal retirement age. Detached and semi-detached houses predominate and multiple car ownership is common."
Group,A2,Inner London Working Professionals,"These primarily Inner London neighbourhoods are more densely populated than the Supergroup average. Residents have a younger over-all age profile than the Supergroup as a whole, and are less likely to be owner occupiers. Full time employment is more common than elsewhere in the Supergroup and multiple car ownership is uncommon. Chinese and non-EU-born European migrants are less in evidence than elsewhere in the Supergroup."
Group,A3,European Enclaves,"Many residents of these accessible neighbourhoods have wide-ranging non-UK European origins. Typically residing in privately rented flats, many residents live alone and are beyond normal retirement age. There are more students than elsewhere in the Supergroup, some of which live in communal establishments. Household residents are often drawn from different ethnic groups."
