Supergroup,1,#ccbb99,Retired Professionals,"Typically married but no longer with resident dependent children, these well-educated households either remain working in their managerial, professional, administrative or other skilled occupations, or are retired from them – the modal individual age is beyond normal retirement age. Underoccupied detached and semi-detached properties predominate, and unpaid care is more prevalent than reported disability. The prevalence of this Supergroup outside most urban conurbations indicates that rural lifestyles prevail, typically sustained by using two or more cars per household."
Supergroup,2,#4daf4a,Suburbanites & Peri-Urbanites,"Pervasive throughout the UK, members of this Supergroup typically own (or are buying) their detached, semi-detached or terraced homes. They are also typically educated to A Level/Highers or degree level and work in skilled or professional occupations. Typically born in the UK, some families have children, although the median adult age is above 45 and some property has become under-occupied after children have left home. This Supergroup is pervasive not only in suburban locations, but also in neighbourhoods at or beyond the edge of cities that adjoin rural parts of the country. "
Supergroup,3,#ff0000,Multicultural & Educated Urbanites,"Established populations comprising ethnic minorities together with persons born outside the UK predominate in this Supergroup. Residents present diverse personal characteristics and circumstances: while generally well-educated and practising skilled occupations, some residents live in overcrowded rental sector housing. English may not be the main language used by people in this Group. Although the typical adult resident is middle aged, single person households are common and marriage rates are low by national standards. This Supergroup predominates in Inner London, with smaller enclaves in many other densely populated metropolitan areas. "
Supergroup,4,#f781bf,Low-Skilled Migrant & Student Communities,"Young adults, many of whom are students, predominate in these high-density and overcrowded neighbourhoods of rented terrace houses or flats. Most ethnic minorities are present in these communities, as are people born in European countries that are not part of the EU. Students aside, low skilled occupations predominate, and unemployment rates are above average. Overall, the mix of students and more sedentary households means that neighbourhood average numbers of children are not very high. The Mixed or Multiple ethnic group composition of neighbourhoods is often associated with low rates of affiliation to Christian religions. This Supergroup predominates in non-central urban locations the UK, particularly within England in the Midlands and the outskirts of west, south and north-east London."
Supergroup,5,#ff7f00,Ethnically Diverse Suburban Professionals,"Those working within the managerial, professional and administrative occupations typically reflect a wide range of ethnic groups, and reside in detached or semi-detached housing. Their residential locations at the edges of cities and conurbations and car-based lifestyles are more characteristic of Supergroup membership than birthplace or participation in child-rearing. Houses are typically owner-occupied and marriage rates are lower than the national average. This Supergroup is found throughout suburban UK."
Supergroup,6,#ffcb1f,Baseline UK,"This Supergroup exemplifies the broad base to the UK’s social structure, encompassing as it does the average or modal levels of many neighbourhood characteristics, including all housing tenures, a range of levels of educational attainment and religious affiliations, and a variety of pre-retirement age structures. Yet, in combination, these mixes are each distinctive of the parts of the UK. Overall, terraced houses and flats are the most prevalent, as is employment in intermediate or low-skilled occupations. However, this Supergroup is also characterised by above average levels of unemployment and lower levels of use of English as the main language. Many neighbourhoods occur in south London and the UK’s other major urban centres."
Supergroup,7,#377eff,Semi- & Un-Skilled Workforce,"Living in terraced or semi-detached houses, residents of these neighbourhoods typically lack high levels of education and work in elementary or routine service occupations. Unemployment is above average. Residents are predominantly born in the UK, and residents are also predominantly from ethnic minorities. Social (but not private sector) rented sector housing is common. This Supergroup is found throughout the UK’s conurbations and industrial regions but is also an integral part of smaller towns."
Supergroup,8,#984ea3,Legacy Communities,"These neighbourhoods characteristically comprise pockets of flats that are scattered across the UK, particularly in towns that retain or have legacies of heavy industry or are in more remote seaside locations. Employed residents of these neighbourhoods work mainly in low-skilled occupations. Residents typically have limited educational qualifications. Unemployment is above average. Some residents live in overcrowded housing within the social rented sector and experience long-term disability. All adult age groups are represented, although there is an overall age bias towards elderly people in general and the very old in particular. Individuals identifying as belonging to ethnic minorities or Mixed or Multiple ethnic groups are uncommon. "
Group,1a,#ccbb99,Spacious Rural Living,"These predominantly ageing households typically have no resident dependent children. Most are owner-occupiers and live in detached houses in low density residential developments (although renting is more common than in the rest of the Supergroup). White ethnicity predominates. Residents are typically beyond retirement age but those still in work have managerial, professional or skilled trade occupations. White ethnicity and Christian religious affiliation predominate. Neighbourhoods are located throughout rural UK."
Group,1b,#e4d3b1,Small Town Suburbia,"This Group is predominantly comprised of married couples with no resident dependent children, living in areas characterised neither by under-occupancy nor overcrowding throughout the UK in or adjacent to small towns. White ethnic groups and affiliation with Christianity predominates. Housing tends to be predominantly semi-detached or detached and workers are employed principally in managerial and professional occupations, with semi-skilled occupations also in evidence. These areas of the Supergroup are of higher population density. "
Group,1c,#ffeecc,Established Mature Families,"Married couples predominate, many with older dependent children. Detached housing is common. Homeownership rates are the highest within this Supergroup. The presence of some students suggests that households are towards the end of a child rearing phase. Many residents have degree level qualifications, and the occupational profile is heavily skewed towards managerial and professional occupations. Residential developments commonly occur on the periphery of major urban cities or conurbations. "
Group,2a,#2d7f2a,Inner Suburbs & Small Town Living,"Families with resident dependent children (but not students) are common. Established family groups and White ethnicity predominate, as do individuals born in the UK. They are more likely than the Supergroup average to have been resident in their terraced, semi-detached, or detached houses for more than one year. Levels of multiple car ownership are high. Properties are owned and typically have surplus living space. Associate professionals and administrative occupations are prevalent, and parents are likely to be in middle age or approaching retirement. Educational attainment is above the Supergroup average. Scattered developments and concentrations are found in many small towns."
Group,2b,#4daf4a,Rural Amenity,"This Group comprises older parents or retirees, with no resident dependent children, and with the lowest residential densities in this Supergroup. Predominantly UK-born, residents typically live in detached houses, although others do live in semi-detached and terraced properties. The level of multiple car ownership is the highest in this Supergroup. Most houses are owner occupied although social renting is also present. Many concentrations occur in high amenity rural locations, such as Areas of Outstanding Natural Beauty. "
Group,2c,#8def8a,Ageing Communities,"Many residents are of normal retirement age or above and live in communal establishments, and there are few dependent children. The dominant property type is a mix of retirement flats and detached houses. Those in work are likely to be employed in managerial and professional occupations, and many residents are educated to degree level. Levels of owner occupation are high, but the private rental sector is also present. Rural locations predominate. "
Group,3a,#ff0000,Student Living & Professional Footholds,"The Group includes many students, some of whom reside in communal residences. Single-person households are the most prevalent and the modal age band is 25 to 44. There are few families with dependent children. A significant number of White residents were born in EU countries (although UK-born residents are more common than in the rest of the Group), and households reflect a diversity of ethnic groups. Residential turnover is exceptionally high and, communal properties aside, flats are the norm. Some properties, including those in the private rental sector, are over-crowded. Many residents are professionals and technicians educated to degree level, and the Group is particularly common near the campuses of established university towns and cities."
Group,3b,#cc0000,Ethnically Diverse Young Families,"This Group includes many younger parents born overseas (particularly in Africa or EU countries) with children aged 0-4. Individuals identifying as of Mixed or Multiple ethnicities are also common. English may not be the primary language spoken. Accommodation consists principally of flats, and many properties are socially rented and/or overcrowded. Students are also present, unemployment is common, and other adults tend to work in low skilled jobs. "
Group,3c,#990000,Diverse Educated Urban Singles,"This Group includes many never-married individuals not living with dependent children. Many were born in EU countries and are now aged between 25-44. This Group is characterised by its ethnic group diversity, although those identifying as Asian are not well represented. Affiliation with the Christian religion amongst residents is low. Reported disability rates are low. Neighbourhoods include some central locations in London and other major cities. Private renting is the norm, and there is some overcrowding. Many individuals are educated to degree level, and full-time employment is common, particularly in managerial and professional occupations."
Group,4a,#f781bf,Ethnically Diverse Families in Less Connected Locations,"This Group is often found in less central parts of London and other major towns and cities. Adults are more likely than the Supergroup average to have never been married and are typically aged less than 45 years. Many have young dependent children and individuals may have been born in Africa. There are many members identifying with a Black ethnic group, with the other ethnic groups (as listed in the glossary) also represented, though Chinese less so.  Accommodation in flats, frequently socially rented, is common in these neighbourhoods. Part time employment is also common, and work is often in elementary occupations, while unemployment is also the highest within this Supergroup. "
Group,4b,#f761af,Established Multi-Ethnic Communities,"Parents and young children in this Group are drawn from diverse ethnic backgrounds in broadly similar proportions. Employment is typically in elementary occupations, though workers in professional, intermediate or skilled trades occupations are also present. The residential landscape is dominated by terraced housing, although semi-detached houses and flats are also present. This Group is found in London and in many provincial towns and cities throughout the U.K."
Group,4c,#f7419f,Challenged Multicultural Communities & Students,"Married couples with dependent children are common in this Group, with many parents born in Africa or the EU. The representation of residents amongst different ethnic minority groups is high, particularly for individuals of Pakistani ethnic group. For many residents, English is not their main language, and affiliation to Christian religions is less common. Privately rented terrace properties predominate and levels of overcrowding are high. Part time work is common, with many employed in elementary occupations and sales and customer services. There are also many students living within these areas, and overall unemployment levels are high."
Group,5a,#ff7f00,Outer Suburbs,"These neighbourhoods are found on the outer edges of many towns and cities. Many residents were born outside the UK. Indian ethnic group representation is high. There are high numbers of families with dependent children aged 5 to 14. Incidences of disability and of provision of unpaid care are low. Neighbourhoods provide a mix of detached housing and flats, and terraced housing is not uncommon. Levels of overcrowding are low and homeownership rates are high. Professional and managerial occupations are prevalent: unemployment is low and education to degree level is the norm. "
Group,5b,#ffaf00,Suburban Professionals,"Employment in this Group is typically in managerial and professional occupations, and education to degree level is common. Residents are typically of working age, many of whom identify with an Indian ethnicity. Households are unlikely to be of Mixed or Multiple ethnicities, and English is not the main language used in some households. This Group is found on the outskirts of most conurbations as well as in the suburbs of some free-standing towns."
Group,6a,#ffcb1f,Challenged Communities,"Residents of these neighbourhoods typically live in households with dependent children, and there are fewer-than-average residents of normal retirement age or over. Identification with ethnic minorities, particularly Black, or Mixed or Multiple ethnicities is common. The rate of Christian religious affiliation is low.  Housing predominantly consists of semi-detached houses, along with a significant number of terraced properties and flats. Overcrowded social housing is common, and private renting occurs at average UK levels. Those in employment work mainly in caring leisure and other services; process, plant and machine operation; or elementary occupations. Unemployment is high, and few individuals have degree level qualifications. Many of these neighbourhoods occur in commuter towns or less accessible areas of larger towns and cities."
Group,6b,#cc9b1f,Legacy Industrial & Coastal Communities,"Single-person households are common in these neighbourhoods, and these residents are typically divorced rather than never married. A high proportion of residents were born outside the UK in the EU.  There are many young adults, some with young children, but relatively few residents are of normal retirement age or over. Although levels of identification with ethnic minorities are in line with the Supergroup average, individuals identifying with Mixed or Multiple ethnicities is more common than average. High long-term disability rates are observed, and unpaid care is more common than in the rest of the Group. The predominant housing types are terraced houses and flats, which are typically part of the social rented sector. This Group is commonly found in coastal areas and (present-day or former) industrial towns and cities."
Group,6c,#996b1f,Multicultural Inner Suburbs,"These neighbourhoods house many younger and middle-aged adults with children. All ethnic minorities, apart from those identifying as Pakistani or Bangladeshi, appear to be present in above average proportions. Affiliation to Christian religions is uncommon. Long-term disability rates are low, mirrored in limited provision of unpaid care. Privately rented terrace houses and flats are the norm. Managerial, professional and technical occupations are prevalent, and work is rarely part time. Many individuals have degree level qualifications. These areas form the inner suburbs of many of the UK’s towns and cities."
Group,7a,#377eff,Established but Challenged,"Many households in these neighbourhoods comprise separated or divorced single parents with dependent children. Residents are typically born in the UK, and these neighbourhoods have relatively few members of ethnic minorities. The prevalence of children, their parents and those at or above normal retirement age, suggests neighbourhood structures may be long-established. Levels of unpaid care are high, and long-term disability is more common than in the Supergroup as a whole. Use of the social rented sector is common, often in terraced houses. Levels of overcrowding are above the Supergroup average. Unemployment is high, while those in work are employed in elementary occupations such as caring, leisure and customer services. Many residents have low level qualifications. Neighbourhood concentrations of this Group are found in the South Wales Valleys, Belfast, Londonderry and the Central Lowlands of Scotland. "
